n;ID;timestamp;agent.type;client.ip;client.packets;client.port;destination.port;host.ip;source.ip;event.start;host.name;network.bytes;process.pid;server.ip;destination.ip;Prioridad;Clasificacion;Bloque
184;T0184;Dec 3  2022 @ 03:08:15.726;RH00001;auditbeat;127.0.0.1;1;56470;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:10.136;charlyhost;80B;27170;127.0.0.1;1;Critico;Bloque 96
185;T0185;Dec 3  2022 @ 03:08:15.726;RH00001;auditbeat;127.0.0.1;1;56482;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:10.136;charlyhost;80B;27170;127.0.0.1;1;Critico;Bloque 97
186;T0186;Dec 3  2022 @ 03:08:15.726;RH00001;auditbeat;127.0.0.1;1;56448;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:10.134;charlyhost;80B;27170;127.0.0.1;1;Critico;Bloque 98
187;T0187;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;37240;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.587;charlyhost;60B;27170;169.254.169.254;1;Critico;Bloque 99
188;T0188;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;52586;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.585;charlyhost;60B;27170;169.254.169.254;2;No critico;Bloque 602
189;T0189;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;52596;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.586;charlyhost;60B;27170;169.254.169.254;1;Critico;Bloque 100
190;T0190;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;52608;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.586;charlyhost;60B;27170;169.254.169.254;2;No critico;Bloque 603
191;T0191;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;52614;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.586;charlyhost;60B;27170;169.254.169.254;1;Critico;Bloque 101
192;T0192;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;52616;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.586;charlyhost;60B;27170;169.254.169.254;1;Critico;Bloque 102
193;T0193;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;1;52628;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:09.587;charlyhost;60B;27170;169.254.169.254;2;No critico;Bloque 604
194;T0194;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;127.0.0.1;1;49986;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:09.591;charlyhost;80B;27170;127.0.0.1;2;No critico;Bloque 605
195;T0195;Dec 3  2022 @ 03:08:14.728;RH00001;auditbeat;192.168.109.129;2;49602;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:44.212;charlyhost;198B;19341;34.102.187.140;2;No critico;Bloque 606
196;T0196;Dec 3  2022 @ 03:08:12.780;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27194;-;1;Critico;Bloque 103
197;T0197;Dec 3  2022 @ 03:08:12.780;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27170;-;2;No critico;Bloque 607
198;T0198;Dec 3  2022 @ 03:08:12.727;RH00001;auditbeat;127.0.0.1;2;41607;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:42.460;charlyhost;771B;27132;127.0.0.53;2;No critico;Bloque 608
199;T0199;Dec 3  2022 @ 03:08:11.728;RH00001;auditbeat;127.0.0.1;18;40874;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:55.284;charlyhost;13.9KB;25357;127.0.0.1;2;No critico;Bloque 609
200;T0200;Dec 3  2022 @ 03:08:11.728;RH00001;auditbeat;192.168.109.129;14;51310;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:57.130;charlyhost;15.8KB;27150;35.193.143.25;1;Critico;Bloque 104
201;T0201;Dec 3  2022 @ 03:08:11.728;RH00001;auditbeat;127.0.0.1;19;40874;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:55.284;charlyhost;14.1KB;27150;127.0.0.1;1;Critico;Bloque 105
202;T0202;Dec 3  2022 @ 03:08:11.728;RH00001;auditbeat;127.0.0.1;1;53442;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:06.053;charlyhost;80B;27150;127.0.0.1;2;No critico;Bloque 610
203;T0203;Dec 3  2022 @ 03:08:11.728;RH00001;auditbeat;127.0.0.1;1;53426;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:06.053;charlyhost;80B;27150;127.0.0.1;2;No critico;Bloque 611
204;T0204;Dec 3  2022 @ 03:08:10.149;RH00001;auditbeat;192.168.109.129;1;37394;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:06.581;charlyhost;60B;27170;169.254.169.254;1;Critico;Bloque 106
205;T0205;Dec 3  2022 @ 03:07:42.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27132;-;1;Critico;Bloque 107
206;T0206;Dec 3  2022 @ 03:07:42.728;RH00001;auditbeat;127.0.0.1;18;60960;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:26.620;charlyhost;13.9KB;27118;127.0.0.1;2;No critico;Bloque 612
207;T0207;Dec 3  2022 @ 03:07:42.727;RH00001;auditbeat;192.168.109.129;3;57824;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:07:37.219;charlyhost;243B;19341;152.199.24.163;2;No critico;Bloque 613
208;T0208;Dec 3  2022 @ 03:07:42.727;RH00001;auditbeat;127.0.0.1;1;49420;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:37.151;charlyhost;80B;27118;127.0.0.1;1;Critico;Bloque 108
209;T0209;Dec 3  2022 @ 03:07:42.727;RH00001;auditbeat;127.0.0.1;1;49414;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:37.144;charlyhost;80B;27118;127.0.0.1;2;No critico;Bloque 614
